,DATE,Year,Month,Day,Employment
57,1939-03-22,1939,3,22,29792.260869565216
58,1939-03-23,1939,3,23,29791.478260869564
59,1939-03-24,1939,3,24,29790.695652173912
60,1939-03-27,1939,3,27,29789.91304347826
61,1939-03-28,1939,3,28,29789.130434782608
62,1939-03-29,1939,3,29,29788.347826086956
63,1939-03-30,1939,3,30,29787.565217391304
64,1939-03-31,1939,3,31,29786.782608695652
65,1939-04-03,1939,4,3,29786.0
66,1939-04-04,1939,4,4,29803.95
67,1939-04-05,1939,4,5,29821.9
68,1939-04-06,1939,4,6,29839.85
69,1939-04-07,1939,4,7,29857.8
70,1939-04-10,1939,4,10,29875.75
71,1939-04-11,1939,4,11,29893.7
72,1939-04-12,1939,4,12,29911.65
73,1939-04-13,1939,4,13,29929.6
74,1939-04-14,1939,4,14,29947.55
75,1939-04-17,1939,4,17,29965.5
76,1939-04-18,1939,4,18,29983.45
77,1939-04-19,1939,4,19,30001.4
78,1939-04-20,1939,4,20,30019.35
79,1939-04-21,1939,4,21,30037.3
80,1939-04-24,1939,4,24,30055.25
81,1939-04-25,1939,4,25,30073.2
82,1939-04-26,1939,4,26,30091.15
83,1939-04-27,1939,4,27,30109.1
84,1939-04-28,1939,4,28,30127.05
85,1939-05-01,1939,5,1,30145.0
86,1939-05-02,1939,5,2,30161.304347826088
87,1939-05-03,1939,5,3,30177.608695652172
88,1939-05-04,1939,5,4,30193.91304347826
89,1939-05-05,1939,5,5,30210.217391304348
90,1939-05-08,1939,5,8,30226.521739130436
91,1939-05-09,1939,5,9,30242.82608695652
92,1939-05-10,1939,5,10,30259.130434782608
93,1939-05-11,1939,5,11,30275.434782608696
94,1939-05-12,1939,5,12,30291.739130434784
95,1939-05-15,1939,5,15,30308.043478260868
96,1939-05-16,1939,5,16,30324.347826086956
97,1939-05-17,1939,5,17,30340.652173913044
98,1939-05-18,1939,5,18,30356.956521739132
99,1939-05-19,1939,5,19,30373.260869565216
100,1939-05-22,1939,5,22,30389.565217391304
101,1939-05-23,1939,5,23,30405.869565217392
102,1939-05-24,1939,5,24,30422.17391304348
103,1939-05-25,1939,5,25,30438.478260869564
104,1939-05-26,1939,5,26,30454.782608695652
105,1939-05-29,1939,5,29,30471.08695652174
106,1939-05-30,1939,5,30,30487.391304347828
107,1939-05-31,1939,5,31,30503.695652173912
108,1939-06-01,1939,6,1,30520.0
109,1939-06-02,1939,6,2,30517.81818181818
110,1939-06-05,1939,6,5,30515.636363636364
111,1939-06-06,1939,6,6,30513.454545454544
112,1939-06-07,1939,6,7,30511.272727272728
113,1939-06-08,1939,6,8,30509.090909090908
114,1939-06-09,1939,6,9,30506.909090909092
115,1939-06-12,1939,6,12,30504.727272727272
116,1939-06-13,1939,6,13,30502.545454545456
117,1939-06-14,1939,6,14,30500.363636363636
118,1939-06-15,1939,6,15,30498.18181818182
119,1939-06-16,1939,6,16,30496.0
120,1939-06-19,1939,6,19,30493.81818181818
121,1939-06-20,1939,6,20,30491.636363636364
122,1939-06-21,1939,6,21,30489.454545454544
123,1939-06-22,1939,6,22,30487.272727272728
124,1939-06-23,1939,6,23,30485.090909090908
125,1939-06-26,1939,6,26,30482.909090909092
126,1939-06-27,1939,6,27,30480.727272727272
127,1939-06-28,1939,6,28,30478.545454545456
128,1939-06-29,1939,6,29,30476.363636363636
129,1939-06-30,1939,6,30,30474.18181818182
130,1939-07-03,1939,7,3,30472.0
131,1939-07-04,1939,7,4,30490.95238095238
132,1939-07-05,1939,7,5,30509.904761904763
133,1939-07-06,1939,7,6,30528.85714285714
134,1939-07-07,1939,7,7,30547.809523809523
135,1939-07-10,1939,7,10,30566.761904761905
136,1939-07-11,1939,7,11,30585.714285714286
137,1939-07-12,1939,7,12,30604.666666666668
138,1939-07-13,1939,7,13,30623.619047619046
139,1939-07-14,1939,7,14,30642.571428571428
140,1939-07-17,1939,7,17,30661.52380952381
141,1939-07-18,1939,7,18,30680.47619047619
142,1939-07-19,1939,7,19,30699.428571428572
143,1939-07-20,1939,7,20,30718.380952380954
144,1939-07-21,1939,7,21,30737.333333333332
145,1939-07-24,1939,7,24,30756.285714285714
146,1939-07-25,1939,7,25,30775.238095238095
147,1939-07-26,1939,7,26,30794.190476190477
148,1939-07-27,1939,7,27,30813.14285714286
149,1939-07-28,1939,7,28,30832.095238095237
150,1939-07-31,1939,7,31,30851.04761904762
151,1939-08-01,1939,8,1,30870.0
152,1939-08-02,1939,8,2,30902.08695652174
153,1939-08-03,1939,8,3,30934.17391304348
154,1939-08-04,1939,8,4,30966.260869565216
155,1939-08-07,1939,8,7,30998.347826086956
156,1939-08-08,1939,8,8,31030.434782608696
157,1939-08-09,1939,8,9,31062.521739130436
158,1939-08-10,1939,8,10,31094.608695652172
159,1939-08-11,1939,8,11,31126.695652173912
160,1939-08-14,1939,8,14,31158.782608695652
161,1939-08-15,1939,8,15,31190.869565217392
162,1939-08-16,1939,8,16,31222.956521739132
163,1939-08-17,1939,8,17,31255.043478260868
164,1939-08-18,1939,8,18,31287.130434782608
165,1939-08-21,1939,8,21,31319.217391304348
166,1939-08-22,1939,8,22,31351.304347826088
167,1939-08-23,1939,8,23,31383.391304347828
168,1939-08-24,1939,8,24,31415.478260869564
169,1939-08-25,1939,8,25,31447.565217391304
170,1939-08-28,1939,8,28,31479.652173913044
171,1939-08-29,1939,8,29,31511.739130434784
172,1939-08-30,1939,8,30,31543.82608695652
173,1939-08-31,1939,8,31,31575.91304347826
174,1939-09-01,1939,9,1,31608.0
175,1939-09-04,1939,9,4,31625.47619047619
176,1939-09-05,1939,9,5,31642.95238095238
177,1939-09-06,1939,9,6,31660.428571428572
178,1939-09-07,1939,9,7,31677.904761904763
179,1939-09-08,1939,9,8,31695.380952380954
180,1939-09-11,1939,9,11,31712.85714285714
181,1939-09-12,1939,9,12,31730.333333333332
182,1939-09-13,1939,9,13,31747.809523809523
183,1939-09-14,1939,9,14,31765.285714285714
184,1939-09-15,1939,9,15,31782.761904761905
185,1939-09-18,1939,9,18,31800.238095238095
186,1939-09-19,1939,9,19,31817.714285714286
187,1939-09-20,1939,9,20,31835.190476190477
188,1939-09-21,1939,9,21,31852.666666666668
189,1939-09-22,1939,9,22,31870.14285714286
190,1939-09-25,1939,9,25,31887.619047619046
191,1939-09-26,1939,9,26,31905.095238095237
192,1939-09-27,1939,9,27,31922.571428571428
193,1939-09-28,1939,9,28,31940.04761904762
194,1939-09-29,1939,9,29,31957.52380952381
195,1939-10-02,1939,10,2,31975.0
196,1939-10-03,1939,10,3,31968.727272727272
197,1939-10-04,1939,10,4,31962.454545454544
198,1939-10-05,1939,10,5,31956.18181818182
199,1939-10-06,1939,10,6,31949.909090909092
200,1939-10-09,1939,10,9,31943.636363636364
201,1939-10-10,1939,10,10,31937.363636363636
202,1939-10-11,1939,10,11,31931.090909090908
203,1939-10-12,1939,10,12,31924.81818181818
204,1939-10-13,1939,10,13,31918.545454545456
205,1939-10-16,1939,10,16,31912.272727272728
206,1939-10-17,1939,10,17,31906.0
207,1939-10-18,1939,10,18,31899.727272727272
208,1939-10-19,1939,10,19,31893.454545454544
209,1939-10-20,1939,10,20,31887.18181818182
210,1939-10-23,1939,10,23,31880.909090909092
211,1939-10-24,1939,10,24,31874.636363636364
212,1939-10-25,1939,10,25,31868.363636363636
213,1939-10-26,1939,10,26,31862.090909090908
214,1939-10-27,1939,10,27,31855.81818181818
215,1939-10-30,1939,10,30,31849.545454545456
216,1939-10-31,1939,10,31,31843.272727272728
217,1939-11-01,1939,11,1,31837.0
218,1939-11-02,1939,11,2,31846.090909090908
219,1939-11-03,1939,11,3,31855.18181818182
220,1939-11-06,1939,11,6,31864.272727272728
221,1939-11-07,1939,11,7,31873.363636363636
222,1939-11-08,1939,11,8,31882.454545454544
223,1939-11-09,1939,11,9,31891.545454545456
224,1939-11-10,1939,11,10,31900.636363636364
225,1939-11-13,1939,11,13,31909.727272727272
226,1939-11-14,1939,11,14,31918.81818181818
227,1939-11-15,1939,11,15,31927.909090909092
228,1939-11-16,1939,11,16,31937.0
229,1939-11-17,1939,11,17,31946.090909090908
230,1939-11-20,1939,11,20,31955.18181818182
231,1939-11-21,1939,11,21,31964.272727272728
232,1939-11-22,1939,11,22,31973.363636363636
233,1939-11-23,1939,11,23,31982.454545454544
234,1939-11-24,1939,11,24,31991.545454545456
235,1939-11-27,1939,11,27,32000.636363636364
236,1939-11-28,1939,11,28,32009.727272727272
237,1939-11-29,1939,11,29,32018.81818181818
238,1939-11-30,1939,11,30,32027.909090909092
239,1939-12-01,1939,12,1,32037.0
240,1939-12-04,1939,12,4,31986.0
241,1939-12-05,1939,12,5,31935.0
242,1939-12-06,1939,12,6,31884.0
243,1939-12-07,1939,12,7,31833.0
244,1939-12-08,1939,12,8,31782.0
245,1939-12-11,1939,12,11,31731.0
246,1939-12-12,1939,12,12,31680.0
247,1939-12-13,1939,12,13,31629.0
248,1939-12-14,1939,12,14,31578.0
249,1939-12-15,1939,12,15,31527.0
250,1939-12-18,1939,12,18,31476.0
251,1939-12-19,1939,12,19,31425.0
252,1939-12-20,1939,12,20,31374.0
253,1939-12-21,1939,12,21,31323.0
254,1939-12-22,1939,12,22,31272.0
255,1939-12-25,1939,12,25,31221.0
256,1939-12-26,1939,12,26,31170.0
257,1939-12-27,1939,12,27,31119.0
258,1939-12-28,1939,12,28,31068.0
259,1939-12-29,1939,12,29,31017.0
260,1940-01-01,1940,1,1,30966.0
261,1940-01-02,1940,1,2,30967.260869565216
262,1940-01-03,1940,1,3,30968.521739130436
263,1940-01-04,1940,1,4,30969.782608695652
264,1940-01-05,1940,1,5,30971.043478260868
265,1940-01-08,1940,1,8,30972.304347826088
266,1940-01-09,1940,1,9,30973.565217391304
267,1940-01-10,1940,1,10,30974.82608695652
268,1940-01-11,1940,1,11,30976.08695652174
269,1940-01-12,1940,1,12,30977.347826086956
270,1940-01-15,1940,1,15,30978.608695652172
271,1940-01-16,1940,1,16,30979.869565217392
272,1940-01-17,1940,1,17,30981.130434782608
273,1940-01-18,1940,1,18,30982.391304347828
274,1940-01-19,1940,1,19,30983.652173913044
275,1940-01-22,1940,1,22,30984.91304347826
276,1940-01-23,1940,1,23,30986.17391304348
277,1940-01-24,1940,1,24,30987.434782608696
278,1940-01-25,1940,1,25,30988.695652173912
279,1940-01-26,1940,1,26,30989.956521739132
280,1940-01-29,1940,1,29,30991.217391304348
281,1940-01-30,1940,1,30,30992.478260869564
282,1940-01-31,1940,1,31,30993.739130434784
283,1940-02-01,1940,2,1,30995.0
284,1940-02-02,1940,2,2,31010.85714285714
285,1940-02-05,1940,2,5,31026.714285714286
286,1940-02-06,1940,2,6,31042.571428571428
287,1940-02-07,1940,2,7,31058.428571428572
288,1940-02-08,1940,2,8,31074.285714285714
289,1940-02-09,1940,2,9,31090.14285714286
290,1940-02-12,1940,2,12,31106.0
291,1940-02-13,1940,2,13,31121.85714285714
292,1940-02-14,1940,2,14,31137.714285714286
293,1940-02-15,1940,2,15,31153.571428571428
294,1940-02-16,1940,2,16,31169.428571428572
295,1940-02-19,1940,2,19,31185.285714285714
296,1940-02-20,1940,2,20,31201.14285714286
297,1940-02-21,1940,2,21,31217.0
298,1940-02-22,1940,2,22,31232.85714285714
299,1940-02-23,1940,2,23,31248.714285714286
300,1940-02-26,1940,2,26,31264.571428571428
301,1940-02-27,1940,2,27,31280.428571428572
302,1940-02-28,1940,2,28,31296.285714285714
303,1940-02-29,1940,2,29,31312.14285714286
304,1940-03-01,1940,3,1,31328.0
305,1940-03-04,1940,3,4,31331.285714285714
306,1940-03-05,1940,3,5,31334.571428571428
307,1940-03-06,1940,3,6,31337.85714285714
308,1940-03-07,1940,3,7,31341.14285714286
309,1940-03-08,1940,3,8,31344.428571428572
310,1940-03-11,1940,3,11,31347.714285714286
311,1940-03-12,1940,3,12,31351.0
312,1940-03-13,1940,3,13,31354.285714285714
313,1940-03-14,1940,3,14,31357.571428571428
314,1940-03-15,1940,3,15,31360.85714285714
315,1940-03-18,1940,3,18,31364.14285714286
316,1940-03-19,1940,3,19,31367.428571428572
317,1940-03-20,1940,3,20,31370.714285714286
318,1940-03-21,1940,3,21,31374.0
319,1940-03-22,1940,3,22,31377.285714285714
320,1940-03-25,1940,3,25,31380.571428571428
321,1940-03-26,1940,3,26,31383.85714285714
322,1940-03-27,1940,3,27,31387.14285714286
323,1940-03-28,1940,3,28,31390.428571428572
324,1940-03-29,1940,3,29,31393.714285714286
325,1940-04-01,1940,4,1,31397.0
326,1940-04-02,1940,4,2,31412.5
327,1940-04-03,1940,4,3,31428.0
328,1940-04-04,1940,4,4,31443.5
329,1940-04-05,1940,4,5,31459.0
330,1940-04-08,1940,4,8,31474.5
331,1940-04-09,1940,4,9,31490.0
332,1940-04-10,1940,4,10,31505.5
333,1940-04-11,1940,4,11,31521.0
334,1940-04-12,1940,4,12,31536.5
335,1940-04-15,1940,4,15,31552.0
336,1940-04-16,1940,4,16,31567.5
337,1940-04-17,1940,4,17,31583.0
338,1940-04-18,1940,4,18,31598.5
339,1940-04-19,1940,4,19,31614.0
340,1940-04-22,1940,4,22,31629.5
341,1940-04-23,1940,4,23,31645.0
342,1940-04-24,1940,4,24,31660.5
343,1940-04-25,1940,4,25,31676.0
344,1940-04-26,1940,4,26,31691.5
345,1940-04-29,1940,4,29,31707.0
346,1940-04-30,1940,4,30,31722.5
347,1940-05-01,1940,5,1,31738.0
348,1940-05-02,1940,5,2,31750.08695652174
349,1940-05-03,1940,5,3,31762.17391304348
350,1940-05-06,1940,5,6,31774.260869565216
351,1940-05-07,1940,5,7,31786.347826086956
352,1940-05-08,1940,5,8,31798.434782608696
353,1940-05-09,1940,5,9,31810.521739130436
354,1940-05-10,1940,5,10,31822.608695652172
355,1940-05-13,1940,5,13,31834.695652173912
356,1940-05-14,1940,5,14,31846.782608695652
357,1940-05-15,1940,5,15,31858.869565217392
358,1940-05-16,1940,5,16,31870.956521739132
359,1940-05-17,1940,5,17,31883.043478260868
360,1940-05-20,1940,5,20,31895.130434782608
361,1940-05-21,1940,5,21,31907.217391304348
362,1940-05-22,1940,5,22,31919.304347826088
363,1940-05-23,1940,5,23,31931.391304347828
364,1940-05-24,1940,5,24,31943.478260869564
365,1940-05-27,1940,5,27,31955.565217391304
366,1940-05-28,1940,5,28,31967.652173913044
367,1940-05-29,1940,5,29,31979.739130434784
368,1940-05-30,1940,5,30,31991.82608695652
369,1940-05-31,1940,5,31,32003.91304347826
370,1940-06-03,1940,6,3,32016.0
371,1940-06-04,1940,6,4,32016.15
372,1940-06-05,1940,6,5,32016.3
373,1940-06-06,1940,6,6,32016.45
374,1940-06-07,1940,6,7,32016.6
375,1940-06-10,1940,6,10,32016.75
376,1940-06-11,1940,6,11,32016.9
377,1940-06-12,1940,6,12,32017.05
378,1940-06-13,1940,6,13,32017.2
379,1940-06-14,1940,6,14,32017.35
380,1940-06-17,1940,6,17,32017.5
381,1940-06-18,1940,6,18,32017.65
382,1940-06-19,1940,6,19,32017.8
383,1940-06-20,1940,6,20,32017.95
384,1940-06-21,1940,6,21,32018.1
385,1940-06-24,1940,6,24,32018.25
386,1940-06-25,1940,6,25,32018.4
387,1940-06-26,1940,6,26,32018.55
388,1940-06-27,1940,6,27,32018.7
389,1940-06-28,1940,6,28,32018.85
390,1940-07-01,1940,7,1,32019.0
391,1940-07-02,1940,7,2,32043.652173913044
392,1940-07-03,1940,7,3,32068.304347826088
393,1940-07-04,1940,7,4,32092.956521739132
394,1940-07-05,1940,7,5,32117.608695652172
395,1940-07-08,1940,7,8,32142.260869565216
396,1940-07-09,1940,7,9,32166.91304347826
397,1940-07-10,1940,7,10,32191.565217391304
398,1940-07-11,1940,7,11,32216.217391304348
399,1940-07-12,1940,7,12,32240.869565217392
400,1940-07-15,1940,7,15,32265.521739130436
401,1940-07-16,1940,7,16,32290.17391304348
402,1940-07-17,1940,7,17,32314.82608695652
403,1940-07-18,1940,7,18,32339.478260869564
404,1940-07-19,1940,7,19,32364.130434782608
405,1940-07-22,1940,7,22,32388.782608695652
406,1940-07-23,1940,7,23,32413.434782608696
407,1940-07-24,1940,7,24,32438.08695652174
408,1940-07-25,1940,7,25,32462.739130434784
409,1940-07-26,1940,7,26,32487.391304347828
410,1940-07-29,1940,7,29,32512.043478260868
411,1940-07-30,1940,7,30,32536.695652173912
412,1940-07-31,1940,7,31,32561.347826086956
413,1940-08-01,1940,8,1,32586.0
414,1940-08-02,1940,8,2,32622.045454545456
415,1940-08-05,1940,8,5,32658.090909090908
416,1940-08-06,1940,8,6,32694.136363636364
417,1940-08-07,1940,8,7,32730.18181818182
418,1940-08-08,1940,8,8,32766.227272727272
419,1940-08-09,1940,8,9,32802.27272727273
420,1940-08-12,1940,8,12,32838.318181818184
421,1940-08-13,1940,8,13,32874.36363636364
422,1940-08-14,1940,8,14,32910.40909090909
423,1940-08-15,1940,8,15,32946.454545454544
424,1940-08-16,1940,8,16,32982.5
425,1940-08-19,1940,8,19,33018.545454545456
426,1940-08-20,1940,8,20,33054.59090909091
427,1940-08-21,1940,8,21,33090.63636363636
428,1940-08-22,1940,8,22,33126.681818181816
429,1940-08-23,1940,8,23,33162.72727272727
430,1940-08-26,1940,8,26,33198.77272727273
431,1940-08-27,1940,8,27,33234.818181818184
432,1940-08-28,1940,8,28,33270.86363636364
433,1940-08-29,1940,8,29,33306.90909090909
434,1940-08-30,1940,8,30,33342.954545454544
435,1940-09-02,1940,9,2,33379.0
436,1940-09-03,1940,9,3,33399.333333333336
437,1940-09-04,1940,9,4,33419.666666666664
438,1940-09-05,1940,9,5,33440.0
439,1940-09-06,1940,9,6,33460.333333333336
440,1940-09-09,1940,9,9,33480.666666666664
441,1940-09-10,1940,9,10,33501.0
442,1940-09-11,1940,9,11,33521.333333333336
443,1940-09-12,1940,9,12,33541.666666666664
444,1940-09-13,1940,9,13,33562.0
445,1940-09-16,1940,9,16,33582.333333333336
446,1940-09-17,1940,9,17,33602.666666666664
447,1940-09-18,1940,9,18,33623.0
448,1940-09-19,1940,9,19,33643.333333333336
449,1940-09-20,1940,9,20,33663.666666666664
450,1940-09-23,1940,9,23,33684.0
451,1940-09-24,1940,9,24,33704.333333333336
452,1940-09-25,1940,9,25,33724.666666666664
453,1940-09-26,1940,9,26,33745.0
454,1940-09-27,1940,9,27,33765.333333333336
455,1940-09-30,1940,9,30,33785.666666666664
456,1940-10-01,1940,10,1,33806.0
457,1940-10-02,1940,10,2,33814.434782608696
458,1940-10-03,1940,10,3,33822.86956521739
459,1940-10-04,1940,10,4,33831.30434782609
460,1940-10-07,1940,10,7,33839.739130434784
461,1940-10-08,1940,10,8,33848.17391304348
462,1940-10-09,1940,10,9,33856.608695652176
463,1940-10-10,1940,10,10,33865.04347826087
464,1940-10-11,1940,10,11,33873.47826086957
465,1940-10-14,1940,10,14,33881.913043478264
466,1940-10-15,1940,10,15,33890.34782608696
467,1940-10-16,1940,10,16,33898.782608695656
468,1940-10-17,1940,10,17,33907.217391304344
469,1940-10-18,1940,10,18,33915.65217391304
470,1940-10-21,1940,10,21,33924.086956521736
471,1940-10-22,1940,10,22,33932.52173913043
472,1940-10-23,1940,10,23,33940.95652173913
473,1940-10-24,1940,10,24,33949.391304347824
474,1940-10-25,1940,10,25,33957.82608695652
475,1940-10-28,1940,10,28,33966.260869565216
476,1940-10-29,1940,10,29,33974.69565217391
477,1940-10-30,1940,10,30,33983.13043478261
478,1940-10-31,1940,10,31,33991.565217391304
479,1940-11-01,1940,11,1,34000.0
480,1940-11-04,1940,11,4,34031.09523809524
481,1940-11-05,1940,11,5,34062.19047619047
482,1940-11-06,1940,11,6,34093.28571428572
483,1940-11-07,1940,11,7,34124.380952380954
484,1940-11-08,1940,11,8,34155.47619047619
485,1940-11-11,1940,11,11,34186.57142857143
486,1940-11-12,1940,11,12,34217.666666666664
487,1940-11-13,1940,11,13,34248.76190476191
488,1940-11-14,1940,11,14,34279.857142857145
489,1940-11-15,1940,11,15,34310.95238095238
490,1940-11-18,1940,11,18,34342.04761904762
491,1940-11-19,1940,11,19,34373.142857142855
492,1940-11-20,1940,11,20,34404.23809523809
493,1940-11-21,1940,11,21,34435.333333333336
494,1940-11-22,1940,11,22,34466.42857142857
495,1940-11-25,1940,11,25,34497.52380952381
496,1940-11-26,1940,11,26,34528.619047619046
497,1940-11-27,1940,11,27,34559.71428571428
498,1940-11-28,1940,11,28,34590.80952380953
499,1940-11-29,1940,11,29,34621.90476190476
500,1940-12-02,1940,12,2,34653.0
501,1940-12-03,1940,12,3,34615.72727272727
502,1940-12-04,1940,12,4,34578.454545454544
503,1940-12-05,1940,12,5,34541.181818181816
504,1940-12-06,1940,12,6,34503.90909090909
505,1940-12-09,1940,12,9,34466.63636363636
506,1940-12-10,1940,12,10,34429.36363636364
507,1940-12-11,1940,12,11,34392.09090909091
508,1940-12-12,1940,12,12,34354.818181818184
509,1940-12-13,1940,12,13,34317.545454545456
510,1940-12-16,1940,12,16,34280.27272727273
511,1940-12-17,1940,12,17,34243.0
512,1940-12-18,1940,12,18,34205.72727272727
513,1940-12-19,1940,12,19,34168.454545454544
514,1940-12-20,1940,12,20,34131.181818181816
515,1940-12-23,1940,12,23,34093.90909090909
516,1940-12-24,1940,12,24,34056.63636363636
517,1940-12-25,1940,12,25,34019.36363636364
518,1940-12-26,1940,12,26,33982.09090909091
519,1940-12-27,1940,12,27,33944.818181818184
520,1940-12-30,1940,12,30,33907.545454545456
521,1940-12-31,1940,12,31,33870.27272727273
522,1941-01-01,1941,1,1,33833.0
523,1941-01-02,1941,1,2,33845.434782608696
524,1941-01-03,1941,1,3,33857.86956521739
525,1941-01-06,1941,1,6,33870.30434782609
526,1941-01-07,1941,1,7,33882.739130434784
527,1941-01-08,1941,1,8,33895.17391304348
528,1941-01-09,1941,1,9,33907.608695652176
529,1941-01-10,1941,1,10,33920.04347826087
530,1941-01-13,1941,1,13,33932.47826086957
531,1941-01-14,1941,1,14,33944.913043478264
532,1941-01-15,1941,1,15,33957.34782608696
533,1941-01-16,1941,1,16,33969.782608695656
534,1941-01-17,1941,1,17,33982.217391304344
535,1941-01-20,1941,1,20,33994.65217391304
536,1941-01-21,1941,1,21,34007.086956521736
537,1941-01-22,1941,1,22,34019.52173913043
538,1941-01-23,1941,1,23,34031.95652173913
539,1941-01-24,1941,1,24,34044.391304347824
540,1941-01-27,1941,1,27,34056.82608695652
541,1941-01-28,1941,1,28,34069.260869565216
542,1941-01-29,1941,1,29,34081.69565217391
543,1941-01-30,1941,1,30,34094.13043478261
544,1941-01-31,1941,1,31,34106.565217391304
545,1941-02-03,1941,2,3,34119.0
546,1941-02-04,1941,2,4,34142.65
547,1941-02-05,1941,2,5,34166.3
548,1941-02-06,1941,2,6,34189.95
549,1941-02-07,1941,2,7,34213.6
550,1941-02-10,1941,2,10,34237.25
551,1941-02-11,1941,2,11,34260.9
552,1941-02-12,1941,2,12,34284.55
553,1941-02-13,1941,2,13,34308.2
554,1941-02-14,1941,2,14,34331.85
555,1941-02-17,1941,2,17,34355.5
556,1941-02-18,1941,2,18,34379.15
557,1941-02-19,1941,2,19,34402.8
558,1941-02-20,1941,2,20,34426.45
559,1941-02-21,1941,2,21,34450.1
560,1941-02-24,1941,2,24,34473.75
561,1941-02-25,1941,2,25,34497.4
562,1941-02-26,1941,2,26,34521.05
563,1941-02-27,1941,2,27,34544.7
564,1941-02-28,1941,2,28,34568.35
565,1941-03-03,1941,3,3,34592.0
566,1941-03-04,1941,3,4,34620.80952380953
567,1941-03-05,1941,3,5,34649.619047619046
568,1941-03-06,1941,3,6,34678.42857142857
569,1941-03-07,1941,3,7,34707.23809523809
570,1941-03-10,1941,3,10,34736.04761904762
571,1941-03-11,1941,3,11,34764.857142857145
572,1941-03-12,1941,3,12,34793.666666666664
573,1941-03-13,1941,3,13,34822.47619047619
574,1941-03-14,1941,3,14,34851.28571428572
575,1941-03-17,1941,3,17,34880.09523809524
576,1941-03-18,1941,3,18,34908.90476190476
577,1941-03-19,1941,3,19,34937.71428571428
578,1941-03-20,1941,3,20,34966.52380952381
579,1941-03-21,1941,3,21,34995.333333333336
580,1941-03-24,1941,3,24,35024.142857142855
581,1941-03-25,1941,3,25,35052.95238095238
582,1941-03-26,1941,3,26,35081.76190476191
583,1941-03-27,1941,3,27,35110.57142857143
584,1941-03-28,1941,3,28,35139.380952380954
585,1941-03-31,1941,3,31,35168.19047619047
586,1941-04-01,1941,4,1,35197.0
587,1941-04-02,1941,4,2,35236.318181818184
588,1941-04-03,1941,4,3,35275.63636363636
589,1941-04-04,1941,4,4,35314.954545454544
590,1941-04-07,1941,4,7,35354.27272727273
591,1941-04-08,1941,4,8,35393.59090909091
592,1941-04-09,1941,4,9,35432.90909090909
593,1941-04-10,1941,4,10,35472.22727272727
594,1941-04-11,1941,4,11,35511.545454545456
595,1941-04-14,1941,4,14,35550.86363636364
596,1941-04-15,1941,4,15,35590.181818181816
597,1941-04-16,1941,4,16,35629.5
598,1941-04-17,1941,4,17,35668.818181818184
599,1941-04-18,1941,4,18,35708.13636363636
600,1941-04-21,1941,4,21,35747.454545454544
601,1941-04-22,1941,4,22,35786.77272727273
